########################################################################
#                                                                      #
#	lexicon: all lexemes in biblical Aramaic                       #
#                                                                      #
########################################################################
#ident "@(#)lexicon	1.23 18/01/05"
"JHWDJ/"	sp=adjv:ls=gntl:vc=J\:HW.D@J:gl=Jew
"JWM/"		sp=subs:gn=m:vc=JOWM:gl=day
"JWYDQ/"	sp=nmpr:sm=pers:gn=m:vc=JOWY@D@Q:gl=Jozadak
"JZB["		sp=verb:vc=J\:ZAB:gl=save
"JXV["		sp=verb:vc=J\:XAV:gl=dig:co=uncertain variant of XVV[
"JVB["		sp=verb:vc=J\:VAB:gl=be good
"JKL["		sp=verb:vc=J\:KIL:gl=be able
"JM/"		sp=subs:gn=m:vc=JAM:gl=sea
"JSP["		sp=verb:vc=J\:SAP:gl=add
"J<V["		sp=verb:vc=J\:<AV:gl=advise
"JY>["		sp=verb:vc=J\:Y@>:gl=go out
"JYB["		sp=verb:vc=J\:YAB:gl=stand
"JYJB/"		sp=adjv:vc=JAY.IJB:gl=reliable
"JQD["		sp=verb:vc=J\:QAD:gl=burn
"JQDH/"		sp=subs:vc=J\:Q;D@H:gl=firebrand
"JQJR/"		sp=adjv:vc=JAQ.IJR:gl=difficult
"JQR/"		sp=subs:gn=m:vc=J\:Q@R:gl=dignity
"JRWCLM/"	sp=nmpr:sm=topo:vc=J\:RW.C\:LEM:gl=Jerusalem
"JRX/"		sp=subs:gn=m:vc=J\:RAX:gl=month
"JRKH/"		sp=subs:vc=JAR\:K@H:gl=thigh
"JFR>L/"	sp=nmpr:sm=gens:vc=JIF\:R@>;L:gl=Israel
"JCW</"		sp=nmpr:sm=pers:gn=m:vc=J;CW.<A:gl=Jeshua
"JT"		sp=prep:vc=J@T:gl=<nota accusativi>
"JTB["		sp=verb:vc=J\:TIB:gl=sit
"JTJR/"		sp=adjv:vc=JAT.IJR:gl=excessive
"K"		sp=prep:vc=K.\::gl=like
"KDBH/"		sp=subs:vc=K.ID\:B@H:gl=lie
"KH"		sp=advb:vc=K.@H:gl=here
"KHL["		sp=verb:vc=K.\:HAL:gl=be able
"KHN/"		sp=subs:gn=m:vc=K.@H;N:gl=priest
"KWH/"		sp=subs:gn=f:vc=K.AW.@H:gl=window
"KWRC/"		sp=nmpr:sm=pers:gn=m:vc=K.OWREC:gl=Cyrus
"KKR/"		sp=subs:gn=f:vc=K.AK.AR:gl=talent
"KL/"		sp=subs:ls=nmdi:gn=m:vc=K.OL:gl=whole
"KLL["		sp=verb:vc=K.\:LAL:gl=finish
"KN"		sp=advb:vc=K.;N:gl=thus
"KNM>"		sp=advb:vc=K.\:N;M@>:gl=thus
"KNC["		sp=verb:vc=K.\:NAC:gl=assemble
"KNT/"		sp=subs:gn=m:vc=K.\:N@T:gl=colleague
"KSP/"		sp=subs:gn=m:vc=K.\:SAP:gl=silver
"K<N"		sp=advb:vc=K.\:<AN:gl=now
"K<NT"		sp=advb:vc=K.\:<ENET:gl=now
"K<T"		sp=advb:vc=K.\:<ET:gl=now
"KPT["		sp=verb:vc=K.\:PAT:gl=bind
"KR/"		sp=subs:vc=K.OR:gl=kor
"KRBLH/"	sp=subs:vc=K.AR\:B.\:L@H:gl=hat
"KRH["		sp=verb:vc=K.\:R@H:gl=be sick
"KRWZ/"		sp=subs:gn=m:vc=K.@ROWZ:gl=herald
"KRZ["		sp=verb:vc=K.\:RAZ:gl=proclaim
"KRS>/"		sp=subs:gn=m:vc=K.@R\:S;>:gl=throne
"KFDJ/"		sp=adjv:ls=gntl:vc=K.AF\:D.@J:gl=Chaldaean
"KTB["		sp=verb:vc=K.\:TAB:gl=write
"KTB/"		sp=subs:gn=m:vc=K.\:T@B:gl=writing
"KTL/"		sp=subs:gn=m:vc=K.\:TAL:gl=wall
"L"		sp=prep:vc=L\::gl=to
"L>"		sp=nega:vc=L@>:gl=not
"LB/"		sp=subs:gn=m:rt=LBB:vc=L;B:gl=heart
"LBB/"		sp=subs:gn=m:rt=LBB:vc=L\:BAB:gl=heart
"LBWC/"		sp=subs:gn=m:rt=LBC:vc=L\:BW.C:gl=garment
"LBC["		sp=verb:vc=L\:B;C:gl=wear
"LHN"		sp=advb:ls=cjad:vc=L@H;N:gl=therefore
"LHN="		sp=conj:vc=L@H;N:gl=but
"LWJ/"		sp=adjv:ls=gntl:vc=L;W@J:gl=Levite
"LWT"		sp=prep:vc=L\:W@T:gl=with
"LXM/"		sp=subs:gn=m:vc=L\:XEM:gl=meal
"LXNH/"		sp=subs:vc=L\:X;N@H:gl=maid
"LJLJ/"		sp=subs:gn=m:vc=L;JL;J:gl=night
"LCN/"		sp=subs:gn=m:vc=LIC.@N:gl=tongue
"M>H/"		sp=subs:ls=card:vc=M\:>@H:gl=hundred
"M>ZN>/"	sp=subs:vc=MO>Z\:N;>:gl=balance
"M>MR/"		sp=subs:gn=m:vc=M;>MAR:gl=word
"M>N/"		sp=subs:vc=M@>N:gl=vessel
"MGLH/"		sp=subs:vc=M\:GIL.@H:gl=scroll
"MGR["		sp=verb:vc=M\:GAR:gl=fall
"MDBX/"		sp=subs:gn=m:vc=MAD\:B.AX:gl=altar
"MDH/"		sp=subs:vc=MID.@H:gl=tax
"MDWR/"		sp=subs:gn=m:vc=M\:DOWR:gl=dwelling
"MDJ/"		sp=nmpr:sm=topo:vc=M@DAJ:gl=Media
"MDJ=/"		sp=adjv:ls=gntl:vc=M@DAJ:gl=Median
"MDJNH/"	sp=subs:vc=M\:DIJN@H:gl=province
"MH"		sp=prin:gn=unknown:nu=unknown:vc=M@H:gl=what
"MWT/"		sp=subs:gn=m:vc=MOWT:gl=death
"MZWN/"		sp=subs:gn=m:vc=M@ZOWN:gl=food
"MX>["		sp=verb:vc=M\:X@>:gl=hit
"MXLQH/"	sp=subs:vc=MAX\:L\:Q@H:gl=division
"MV>["		sp=verb:vc=M\:V@>:gl=come
